Country/Territory,United Nations[7]
Country/Territory,Estimate
,
Monaco,234317
Liechtenstein,169260
Luxembourg,133745
Bermuda,112653
Ireland,101109
Switzerland,93525
Norway,89242
Cayman Islands,85250
Singapore,66822
Qatar,66799
United States,69185
Isle of Man,—
Iceland,69133
Denmark,68037
Faroe Islands,—
Channel Islands,—
Australia,66916
Netherlands,57871
San Marino,50425
Austria,53840
Greenland,58185
Sweden,60730
Finland,53703
Macau,43555
Belgium,51166
Canada,52112
Israel,54111
Germany,51073
Hong Kong,49259
United Arab Emirates,43295
British Virgin Islands,49444
United Kingdom,46542
New Zealand,48824
France,44229
Andorra,42066
European Union[n 1],31875
US Virgin Islands,—
Malta,33642
Italy,35579
Puerto Rico,32716
New Caledonia,34994
Sint Maarten (Dutch part),26199
Guam,—
Aruba,29342
Cyprus,32281
Brunei,31449
Bahamas,27478
Japan,39650
South Korea,34940
Spain,30058
Saudi Arabia,23186
Slovenia,29135
Taiwan,—
Kuwait,32150
Estonia,27991
Czech Republic,26809
Lithuania,23844
Bahrain,26563
Portugal,24651
Latvia,21267
Slovakia,21390
Greece,20571
Poland,17736
Saint Martin (French part),—
Barbados,17225
Uruguay,17313
Oman,19509
Hungary,18728
Seychelles,12085
Croatia,16983
Guyana,9999
Turks and Caicos Islands,20909
French Polynesia,19915
Trinidad and Tobago,16033
Cook Islands,19264
Anguilla,19216
Antigua and Barbuda,15246
Panama,14618
Romania,14698
Saint Kitts and Nevis,18083
Curaçao,14183
Maldives,10366
Northern Mariana Islands,—
Chile,16265
Costa Rica,12472
Montserrat,16199
Bulgaria,12207
American Samoa,—
Palau,12084
Mexico,10046
Saint Lucia,9824
Turkey,9661
World,12230
Argentina,10761
Malaysia,11101
Russia,12259
Kazakhstan,10055
Turkmenistan,8508
China,12437
Nauru,12390
Mauritius,8873
Grenada,8950
Montenegro,9252
Serbia,8643
Cuba,11255
Dominican Republic,8477
Brazil,8170
Saint Vincent and the Grenadines,8440
Dominica,7571
Gabon,7911
Armenia,4967
Georgia,4975
Albania,6396
Bosnia and Herzegovina,7143
Botswana,6805
North Macedonia,6600
Peru,6622
Azerbaijan,5296
Belarus,7121
Thailand,7067
Belize,6229
Colombia,6104
Jamaica,5184
Equatorial Guinea,7605
Ecuador,5965
Moldova,4468
South Africa,7055
Marshall Islands,6111
Fiji,4647
Kosovo,5663
Iraq,4686
Libya,5791
Paraguay,6035
Tuvalu,5370
Suriname,5259
El Salvador,4551
Tonga,4451
Guatemala,4883
Mongolia,4510
Ukraine,4596
Indonesia,4333
Algeria,3700
Jordan,4058
Namibia,4836
Samoa,3919
Cape Verde,3293
Micronesia,3573
Vietnam,3756
Iran,6766
Tunisia,3807
Eswatini,3969
Morocco,3853
Philippines,3461
Bolivia,3345
Palestine,3514
Egypt,3898
Djibouti,3348
Bhutan,3063
Vanuatu,3073
Venezuela,3965
Sri Lanka,3918
Lebanon,6785
Honduras,2772
São Tomé and Príncipe,2486
Congo,2200
Ivory Coast,2539
Bangladesh,2450
India,2274
Nicaragua,2046
Papua New Guinea,2673
Angola,2258
Uzbekistan,2032
Mauritania,2166
Ghana,2409
Solomon Islands,2306
Kenya,2082
Haiti,1664
Zimbabwe,1508
Kiribati,1765
Cambodia,1608
Laos,2569
Kyrgyzstan,1339
Nigeria,2019
Cameroon,1668
Senegal,1637
Guinea,1185
Timor-Leste,1517
Zambia,1095
Ethiopia,825
Pakistan,1480
Benin,1361
Myanmar,1089
Comoros,1631
Nepal,1159
Tanzania,1136
Zanzibar,1211
Tajikistan,897
Uganda,930
Lesotho,1040
Rwanda,822
Guinea-Bissau,759
Togo,944
Syria,925
Mali,875
Gambia,772
Burkina Faso,893
Liberia,471
Somalia,447
Chad,955
DR Congo,551
North Korea,654
Mozambique,492
Niger,591
Eritrea,623
Yemen,302
Malawi,613
Central African Republic,461
Sudan,786
Madagascar,500
South Sudan,400
Sierra Leone,505
Afghanistan,373
Burundi,311
