Country or entity,% Christian
Afghanistan (details),0.02%[29]
Albania (details),17.0%[30]
Algeria (details),0.01%
American Samoa (details),98.3%
Andorra (details),89.5%
Angola (details),75%[34]
Anguilla (details),90.5%
Antigua and Barbuda (details),74.0%
Argentina (details),77%[35]
Armenia (details),97.9%[36]
Aruba (details),88%
Australia (details),43.9%[37]
Austria (details),58%-62%
Azerbaijan (details),3.1%
Bahamas (details),95%[42]
Bahrain (details),15.0%[43]
Bangladesh (details),0.3%[44]
Barbados (details),74%[45]
Belarus (details),55.4%[46]
Belgium (details),65%[47]
Belize (details),76.7%
Benin (details),48.5%[48]
Bermuda (details),64.7%
Bhutan (details),1.0%
Bolivia (details),89.0%
Bosnia and Herzegovina (details),45.94%[49]
Botswana (details),71.6%
Brazil (details),90.0%[50]
British Virgin Islands (details),94.0%
Brunei (details),7.1%[51]
Bulgaria (details),64.7%[52]
Burkina Faso (details),26.3%[53]
Burundi (details),75.0%
Cambodia (details),1.0%
Cameroon (details),73%[54]
Canada (details),53.3%[55]
Cape Verde (details),89.1%[29]
Cayman Islands (details),66.9%[57]
Central African Republic (details),80%
Chad (details),35.0%
Chile (details),68%[58]
People's Republic of China (details),2.5%-3.5%[60]
Colombia (details),92%[61]
Comoros (details),2.1%
Cook Islands (details),87.0%[62]
"Congo, Republic of (details)",90.7%
"Congo, Democratic Republic of (details)",92%
Costa Rica (details),82%
Côte d'Ivoire (details),39.8%[63]
Croatia (details),87.4%[64]
Cuba (details),65%[65]
Cyprus (details),79%[66][67]
Czech Republic (details),11.7%[68]
Denmark (details),79%
Djibouti (details),6.0%
Dominica (details),88.7%
Dominican Republic (details),83%
Ecuador (details),94.0%
Egypt (details),10.0%[71]
El Salvador (details),81.9%
Equatorial Guinea (details),88.7%[29]
Eritrea (details),67%[72]
Estonia (details),26.8%[73]
Eswatini (details),82.7%
Ethiopia (details),75%
Falkland Islands (details),94.3%
Faroe Islands (details),95.4%[74]
Fiji (details),64.4%
Finland (details),67.1%[75]
France (details),51.1%[76]-58%[47]/63-66%[77]
Gabon (details),88.0%[79]
Gambia (details),4.2%[80]
Georgia (details),88.1%[81]
Germany (details),53.9%[82]
Ghana (details),71.3%[83]
Greece (details),93%[84]
Greenland (details),96.6%
Grenada (details),97.3%
Guatemala (details),87%
Guinea (details),8.9%[85]
Guinea-Bissau (details),10.0%
Guyana (details),62.7%[86]
Haiti (details),96.0%
Honduras (details),88%[87]
Hong Kong (details),18.4%[88]
Hungary (details),52.87%[89]-65.0%[47]
Iceland (details),72.3%[90]
India (details),2.3%[36]
Indonesia (details),10.49%[92]
Iran (details),0.4%-1.5%
Iraq (details),1.2%
Ireland (details),83.8% (2016)[94]
Israel (details),3.5%
Italy (details),83%
Jamaica (details),68.9%
Japan (details),1.1%[96]
Jordan (details),6.0%[97]
Kazakhstan (details),17.2%[98]
Kenya (details),85.5%[99]
"Korea, North (details)",1.7%
"Korea, South (details)",27.6%[100]
Kuwait (details),15.0%
Kyrgyzstan (details),11.4%[29]-17.0%[101]
Laos (details),2.2%
Latvia (details),70%[47]-80%[102]
Lebanon (details),38.0%-41.0%
Lesotho (details),90.0%
Liberia (details),85.5%[106]
Libya (details),2.7%[29]
Liechtenstein (details),84.4%[107]
Lithuania (details),79.4%[108]
Luxembourg (details),72.4%[109]
Madagascar (details),85.0%[110]
Malawi (details),77.3%[111]
Malaysia (details),9.0%[112]
Maldives (details),0.08%
Mali (details),2.4%[113]
Malta (details),91.6%[114]
Mauritania (details),0.14%
Mauritius (details),32.2%
Mexico (details),88.9%[115]
"Micronesia, Federated States of (details)",95.4%
Moldova (details),91.8%[116]
Monaco (details),82.6%[117]
Mongolia (details),1.3%[118]
Montenegro (details),78.8%[119]
Morocco (details),1%[120]
Mozambique (details),56.1%
Myanmar (details),6.2%
Namibia (details),90.0%
Nepal (details),1.4%[121]
Netherlands (details),37% (2018)[122] - 43.8%[123]
New Zealand (details),37.0% (2018)[124]
Nicaragua (details),84.6%
Niger (details),0.5%
Nigeria (details),45.9%[125]
North Macedonia (details),60.4%[126].[127]
Norway (details),76.7% (2018)[129][130]
Oman (details),6.5%[29]
Pakistan (details),1.6%[132]
Palau (details),77.9%
Panama (details),92.0%
Papua New Guinea (details),97%
Paraguay (details),96%[87]
Peru (details),94.5%[133]
Philippines (details),85.3%
Pitcairn Islands (details),100.0%
Poland (details),94.3%
Portugal (details),84.8%[135]
Puerto Rico (details),89%[136][137]
Qatar (details),13.8%
Romania (details),98.0%[47]
Russia (details),46.6%[140]-77.0%[141][142]
Rwanda (details),93.6%
San Marino (details),91.6%[29]
Saudi Arabia (details),5%[143]
Senegal (details),4.2%[144]
Serbia (details),91.0%[145]
Seychelles (details),94.7%
Sierra Leone (details),10%[146]-20.9%[147]
Singapore (details),18.9%[148][149][150]
Slovakia (details),68.8%[151]
Slovenia (details),68.0%[47]
Somalia (details),0.01%
South Africa (details),85.3%[153]
South Sudan (details),60.5%[155]
Spain (details),59.2%[156]
Sri Lanka (details),7.4%
Sudan (details),1.5%[157]
Suriname (details),48.4% - 51.6%[158][159]
Sweden (details),64.3%[160]
Switzerland (details),66.9%[161]-69.1%[162]
Syria (details),10.0%[29]
Tajikistan (details),1.4%
Tanzania (details),61.4%[164]
Thailand (details),1.1%[165]
Timor-Leste (details),99.6%[167]
Togo (details),29.0%
Tonga (details),81.0%
Trinidad and Tobago (details),57.6%[168]
Tunisia (details),
Turkey (details),0.2%
Turkmenistan (details),9.0%[172]
Uganda (details),84.5%[173]
Ukraine (details),81.9%[174]
United Arab Emirates (details),9.0%[175]
United Kingdom (details),38% [177]- 47.7%[178][179][180]
United States (details),65% (2019)[183]-73%[184]
Uruguay (details),58.1%[58]
Uzbekistan (details),2.6%[29]
Venezuela (details),88.0%[185]
Vietnam (details),7.1%[186]
Yemen (details),0.01%
Zambia (details),95.5%[189]
Zimbabwe (details),87.0%[190]
Europe,76.2%[9]
Latin America and the Caribbean,90.0%[9]
Africa,62.7%[9]
Asia,7.0%[9]-12.0%[194]
North America,77.4%[9]
Oceania,73.3%[195]
Middle East-North Africa,3.8%[9]-5.0%[197]
Total,33.4%[194]
