Country,% of GDP
World total,2.2
United States,3.5
China[a],1.6
Russia,4.1
India,2.4
Saudi Arabia[a][b],7.4
United Kingdom,2.2
Germany,1.4
France[c],1.9
South Korea,2.7
Japan,1.1
Ukraine,34.0
Italy,1.7
Australia,1.9
Canada,1.2
Israel,4.5
Spain,1.5
Brazil,1.1
Poland[c],2.4
Netherlands,1.6
Qatar,7.0
Taiwan,1.6
Singapore,2.8
Turkey,1.2
Pakistan,2.6
Colombia,3.1
Algeria,4.8
Indonesia,0.7
Mexico,0.6
Norway,1.6
Kuwait,4.5
Greece,3.7
Sweden,1.3
Belgium,1.2
Iran,2.6
Switzerland,0.8
Oman,5.2
Thailand,1.2
Chile,1.8
Denmark,1.2
Romania,1.7
