Country/Region,% of GDP
United States,122.56
United Kingdom,287.08
Japan,98.44
Netherlands,381.62
France,112.06
Ireland,548.53
Italy,143.09
Germany,65.33
Canada,126.94
China,13.55
Switzerland,284.57
Australia,111.17
Hong Kong,504.1
Spain,111.84
Brazil,71.59
Sweden,171.81
Mexico,52.92
Singapore,158.13
Norway,133.14
South Korea,38.62
Belgium,104.42
India,16.83
Turkey,46.21
Portugal,164.48
Austria,77.76
Indonesia,29.1
Poland,49.3
Greece,322.85
Russia,13.67
Thailand,49.09
Argentina,42.91
Saudi Arabia,23.83
South Africa,65.81
Malaysia,58.17
Philippines,58.9
Chile,65.09
United Arab Emirates,59.69
Finland,71.3
New Zealand,81.76
Czech Republic,61.47
Mauritius,1368.0
Qatar,106.09
Taiwan,24.4
Colombia,56.03
Puerto Rico (United States),161.93
Egypt,42.72
Kazakhstan,65.71
Romania,45.4
Israel,29.28
Hungary,160.0
Vietnam,39.1
Pakistan,43.0
Ukraine,81.0
Denmark,119.0
Slovakia,112.0
Venezuela,23.0
Malta,691.0
Algeria,2.0
Nigeria,2.0
Bangladesh,22.0
Morocco,46.0
Peru,44.0
Sri Lanka,68.0
Iraq,44.0
Sudan,121.0
Slovenia,104.0
Ecuador,57.0
Uruguay,50.0
Oman,35.0
Croatia,74.0
Panama,56.6
Jordan,83.0
Latvia,126.0
Bahrain,66.0
Serbia,56.5
Tunisia,97.0
Angola,41.0
Belarus,66.0
Lebanon,220.0
Estonia,89.0
Mongolia,245.0
Uzbekistan,24.0
Ivory Coast,24.0
Ghana,30.0
Lithuania,74.0
Cuba,34.0
Dominican Republic,36.0
Cyprus,849.0
Costa Rica,43.0
Luxembourg,22.1
Ethiopia,32.0
Cambodia,57.0
Papua New Guinea,111.0
Iceland,81.0
Paraguay,54.0
Trinidad & Tobago,76.0
Bulgaria,63.0
Guatemala,28.0
Palau,62.1
Bahamas,194.0
Jamaica,122.0
Monaco,240.0
Tanzania,34.0
Bolivia,33.0
El Salvador,56.0
Albania,66.0
Myanmar,17.0
Nicaragua,83.0
Georgia,128.0
Zimbabwe,77.0
Laos,53.0
Mozambique,72.0
Nepal,16.0
Zambia,45.0
Iran,2.0
Azerbaijan,22.0
Honduras,38.0
North Macedonia,73.0
Cameroon,24.0
Yemen,21.0
Armenia,102.0
Tajikistan,38.0
Namibia,64.0
Uganda,24.0
Senegal,42.0
Syria,24.0
Kyrgyzstan,112.0
Moldova,70.0
Democratic Republic of the Congo,13.0
Gabon,35.0
Bosnia and Herzegovina,23.0
North Korea,18.0
Republic of the Congo,55.0
Barbados,100.0
Montenegro,151.0
Madagascar,41.0
Kosovo,37.0
Mali,26.0
Mauritania,76.0
Libya,9.0
Botswana,8.0
Burkina Faso,26.0
Somalia,52.0
Niger,36.0
Seychelles,180.0
Rwanda,29.0
Bermuda (UK),47.0
Benin,26.0
Bhutan,108.0
Haiti,24.0
Malawi,39.0
South Sudan,62.7
Chad,18.0
Cape Verde,99.0
Sierra Leone,36.0
Palestine,35.0
Equatorial Guinea,12.0
Djibouti,71.0
Guinea,20.0
Belize,75.0
Afghanistan,7.0
Suriname,30.0
Togo,26.0
Guyana,36.0
Andorra,41.0
Liberia,51.0
Guinea-Bissau,94.0
Lesotho,53.0
Faroe Islands (Denmark),38.0
Fiji,18.0
Eritrea,15.0
Maldives,23.0
Burundi,26.0
Aruba,28.0
Central African Republic,39.0
Kuwait,0.42
Grenada,66.0
Gambia,61.0
Saint Lucia,36.0
Turkmenistan,1.0
Solomon Islands,40.0
Eswatini,14.0
Samoa,51.0
Antigua and Barbuda,34.0
San Marino,23.0
Brunei,2.8
Saint Vincent and the Grenadines,42.0
Timor-Leste,12.0
Dominica,55.0
Cook Islands,23.0
Sao Tome and Principe,67.0
Tonga,54.0
Vanuatu,27.0
Saint Kitts and Nevis,20.0
Comoros,21.0
New Caledonia (France),1.0
Marshall Islands,52.0
Micronesia,29.0
Cayman Islands (UK),7.0
Kenya,26.0
Greenland (Denmark),2.0
Nauru,22.0
British Virgin Islands (UK),2.0
Tuvalu,37.0
Kiribati,8.0
Anguilla (UK),5.0
Wallis and Futuna (France),6.0
Montserrat (UK),2.0
Liechtenstein,0.0
Niue (New Zealand),0.0
