Country,Total Fertility rate in 2021 (births/woman)
Niger,6.82
Somalia,6.31
Chad,6.25
DR Congo,6.16
Central African Republic,5.98
Mali,5.96
Angola,5.30
Nigeria,5.24
Burundi,5.08
Benin,4.97
Burkina Faso,4.77
Tanzania,4.73
Gambia,4.68
Mozambique,4.64
Afghanistan,4.64
Uganda,4.58
South Sudan,4.47
Cameroon,4.46
Sudan,4.46
Ivory Coast,4.42
Guinea,4.40
Mauritania,4.40
Senegal,4.39
Zambia,4.31
Equatorial Guinea,4.27
Togo,4.26
Congo,4.17
Ethiopia,4.16
Liberia,4.09
Guinea-Bissau,4.00
Solomon Islands,3.98
Sierra Leone,3.98
Comoros,3.98
Samoa,3.93
Malawi,3.92
Eritrea,3.87
Madagascar,3.85
São Tomé and Príncipe,3.82
Rwanda,3.82
Yemen,3.79
Vanuatu,3.73
Ghana,3.56
Palestine,3.50
Iraq,3.50
Zimbabwe,3.49
Gabon,3.49
Pakistan,3.47
Kenya,3.33
Kazakhstan,3.32
Kiribati,3.30
Namibia,3.30
Tonga,3.24
Papua New Guinea,3.21
Tajikistan,3.19
Uzbekistan,3.17
Tuvalu,3.16
East Timor,3.15
Lesotho,3.02
Israel,3.00
Egypt,2.92
Kyrgyzstan,2.89
Algeria,2.89
Eswatini,2.84
Mongolia,2.84
Jordan,2.83
Haiti,2.81
Djibouti,2.80
Botswana,2.79
Philippines,2.75
Syria,2.75
Marshall Islands,2.73
Micronesia,2.71
Turkmenistan,2.67
Oman,2.62
Bolivia,2.62
Guam (US),2.57
Laos,2.50
Fiji,2.48
Paraguay,2.47
Libya,2.46
Seychelles,2.46
Saudi Arabia,2.43
Saint Martin (France) (French part),2.42
Guyana,2.40
Guatemala,2.40
South Africa,2.37
Honduras,2.36
Suriname,2.35
Cambodia,2.34
Morocco,2.33
Panama,2.33
Nicaragua,2.32
Faroe Islands (Denmark),2.29
Dominican Republic,2.27
World,2.27
Venezuela,2.21
Peru,2.19
Indonesia,2.17
Myanmar (Burma),2.15
Kuwait,2.11
Population replacement,2.10
Lebanon,2.09
Tunisia,2.09
Georgia,2.08
India,2.03
Nepal,2.03
Ecuador,2.03
New Caledonia (France),2.02
U.S. Virgin Islands (US),2.01
Belize,2.01
Grenada,2.00
Sri Lanka,1.99
Bangladesh,1.98
Vietnam,1.94
Cape Verde,1.90
Turkey,1.89
Argentina,1.89
Gibraltar (UK),1.85
Czech Republic,1.83
France,1.83
Mexico,1.82
Iceland,1.82
Bahrain,1.81
North Korea,1.81
Moldova,1.81
Malaysia,1.80
El Salvador,1.80
Qatar,1.80
Greenland (Denmark),1.80
Romania,1.80
Saint Vincent and the Grenadines,1.80
Brunei,1.78
Montenegro,1.75
Ireland,1.72
Denmark,1.72
Colombia,1.72
Australia,1.70
French Polynesia (France),1.70
Iran,1.69
Maldives,1.69
Sweden,1.67
