Country,World Bank Gini[5][6]
Country,%
,
Albania,29.4
Algeria,27.6
Angola,51.3
Argentina,42.0
Armenia,27.9
Australia,34.3
Austria,29.8
Azerbaijan,26.6
Bangladesh,31.8
Belarus,24.4
Belgium,26.0
Belize,57.9
Benin,37.9
Bhutan,28.5
Bolivia,40.9
Bosnia and Herzegovina,33.0
Botswana,53.3
Brazil,52.9
Bulgaria,40.5
Burkina Faso,43.0
Burundi,38.6
Cambodia,36.0
Cameroon,46.6
Canada,31.7
Cape Verde,42.4
Central African Republic,43.0
Chad,37.5
Chile,44.9
China,37.1
Colombia,51.5
Comoros,45.3
DR Congo,42.1
Congo,48.9
Costa Rica,47.2
Ivory Coast,37.2
Croatia,29.5
Cyprus,31.7
Czech Republic,26.2
Denmark,27.5
Djibouti,41.6
Dominican Republic,38.5
Ecuador,45.5
Egypt,31.9
El Salvador,38.8
Estonia,30.7
Eswatini,54.6
Ethiopia,35.0
European Union,30.6
Faroe Islands,22.71
Fiji,30.7
Finland,27.1
France,30.7
Gabon,38.0
Gambia,28.8
Georgia,34.2
Germany,31.7
Ghana,43.5
Greece,33.6
Guatemala,48.3
Guinea,29.6
Guinea-Bissau,34.8
Guyana,45.1
Haiti,41.1
Honduras,48.2
Hong Kong,53.9
Hungary,29.7
Iceland,26.1
India,34.2
Indonesia,37.9
Iran,40.9
Iraq,29.5
Ireland,29.2
Israel,38.6
Italy,35.2
Jamaica,45.5
Japan,32.9
Jordan,33.7
Kazakhstan,27.8
Kenya,38.7
South Korea,31.4
Kosovo,29.0
Kyrgyzstan,29.0
Laos,38.8
Latvia,35.7
Lebanon,31.8
Lesotho,44.9
Liberia,35.3
Lithuania,36.0
Luxembourg,33.4
Macau,36.0
North Macedonia,33.5
Madagascar,42.6
Malawi,38.5
Malaysia,41.2
Maldives,29.3
Mali,36.0
Malta,31.4
Mauritania,32.6
Mauritius,36.8
Mexico,45.4
Micronesia,40.1
Moldova,25.7
Mongolia,32.7
Montenegro,36.8
Morocco,39.5
Mozambique,50.5
Myanmar,30.7
Namibia,59.1
Nepal,32.8
Netherlands,26.0
New Zealand,33.9
Nicaragua,46.2
Niger,37.3
Nigeria,35.1
Norway,27.7
Pakistan,29.6
Panama,50.9
Papua New Guinea,41.9
Paraguay,45.1
Peru,40.2
Philippines,40.7
Poland,28.8
Portugal,34.7
Qatar,41.1
Romania,34.6
Russia,36.0
Rwanda,43.7
São Tomé and Príncipe,40.7
Saudi Arabia,45.9
Senegal,38.3
Serbia,35.0
Seychelles,32.1
Sierra Leone,35.7
Singapore,45.9
Slovakia,23.2
Slovenia,24.0
Somalia,36.8
South Africa,63.0
South Sudan,44.1
Spain,34.9
Sri Lanka,37.7
Saint Lucia,51.2
Sudan,34.2
Suriname,57.9
Sweden,28.9
Switzerland,33.1
Syria,37.5
Taiwan,34.1
Tajikistan,34.0
Tanzania,40.5
Thailand,35.9
East Timor,28.7
Togo,42.5
Trinidad and Tobago,40.3
Tunisia,32.8
Turkey,41.9
Turkmenistan,40.8
Uganda,42.7
Ukraine,25.6
United Arab Emirates,26.0
United Kingdom,32.6
United States,39.8
Uruguay,40.8
Uzbekistan,35.3
Venezuela,44.8
Vietnam,36.8
Yemen,36.7
Zambia,55.9
Zimbabwe,50.3
World,
