Countries,All
Japan,84.3
Switzerland,83.4
South Korea,83.3
Singapore,83.2
Spain,83.2
Cyprus,83.1
Italy,83.0
Australia,83.0
Israel,82.6
Norway,82.6
France,82.5
Sweden,82.4
Luxembourg,82.4
Iceland,82.3
Canada,82.2
New Zealand,82.0
Malta,81.9
Netherlands,81.8
Ireland,81.8
Germany,81.7
Portugal,81.6
Finland,81.6
Austria,81.6
Belgium,81.4
United Kingdom,81.4
Denmark,81.3
Slovenia,81.3
Greece,81.1
Kuwait,81.0
Costa Rica,80.8
Chile,80.7
Peru,79.9
Maldives,79.6
Colombia,79.3
Panama,79.3
Czech Republic,79.1
Estonia,78.9
Croatia,78.6
Turkey,78.6
United States of America,78.5
Ecuador,78.4
Poland,78.3
Slovakia,78.2
Albania,78.0
Jordan,77.9
Cuba,77.8
Thailand,77.7
China,77.4
Iran,77.3
Qatar,77.2
Uruguay,77.1
Algeria,77.1
Tunisia,77.0
Sri Lanka,76.9
Bosnia and Herzegovina,76.8
Argentina,76.6
Antigua and Barbuda,76.5
Hungary,76.4
Lebanon,76.4
Trinidad and Tobago,76.1
United Arab Emirates,76.1
Armenia,76.0
Barbados,76.0
Lithuania,76.0
Jamaica,76.0
Mexico,76.0
Montenegro,75.9
Serbia,75.9
Brazil,75.9
Bahrain,75.8
Paraguay,75.8
Libya,75.8
Romania,75.6
Latvia,75.4
Bulgaria,75.1
Nicaragua,75.0
El Salvador,75.0
North Macedonia,74.8
Belarus,74.8
Malaysia,74.7
Belize,74.4
Brunei Darussalam,74.3
Saint Lucia,74.3
Bangladesh,74.3
Saudi Arabia,74.3
Kyrgyzstan,74.2
Mauritius,74.1
Kazakhstan,74.0
Cabo Verde,74.0
Oman,73.9
Venezuela,73.9
Viet Nam,73.7
Georgia,73.3
Moldova,73.3
Seychelles,73.3
World,73.3
Bahamas,73.2
Russia,73.2
Saint Vincent and the Grenadines,73.2
Bhutan,73.1
Uzbekistan,73.0
Ukraine,73.0
Morocco,73.0
Grenada,72.9
Dominican Republic,72.8
Syria,72.7
North Korea,72.6
Tonga,72.6
Iraq,72.4
Bolivia,72.1
Guatemala,72.0
Honduras,71.9
Egypt,71.8
Suriname,71.5
Azerbaijan,71.4
Indonesia,71.3
Nepal,70.9
India,70.8
Samoa,70.5
Philippines,70.4
Sao Tome and Principe,70.4
Cambodia,70.1
Turkmenistan,69.7
Timor-Leste,69.6
Tajikistan,69.5
Myanmar,69.1
Rwanda,69.1
Sudan,69.1
Ethiopia,68.7
Senegal,68.6
Laos,68.5
Mauritania,68.4
Mongolia,68.1
Fiji,68.0
Comoros,67.4
Tanzania,67.3
Uganda,66.7
Yemen,66.6
Gabon,66.5
Ghana,66.3
Kenya,66.1
Djibouti,65.8
Guyana,65.7
Malawi,65.6
Pakistan,65.6
Gambia,65.5
Vanuatu,65.3
Madagascar,65.3
Papua New Guinea,65.3
South Africa,65.3
Solomon Islands,65.2
"Congo, Republic of",64.7
Namibia,64.6
Togo,64.3
Haiti,64.1
Eritrea,64.1
Liberia,64.1
Burundi,63.8
Benin,63.4
Niger,63.3
Afghanistan,63.2
Angola,63.1
Federated States of Micronesia,63.0
Côte d'Ivoire,62.9
Mali,62.8
South Sudan,62.8
Burkina Faso,62.7
Nigeria,62.6
Zambia,62.5
Cameroon,62.4
"Congo, Democratic Republic of",62.4
Equatorial Guinea,62.2
Botswana,62.2
Guinea,61.0
Sierra Leone,60.8
Zimbabwe,60.7
Guinea-Bissau,60.2
Chad,59.6
Kiribati,59.4
Mozambique,58.1
Eswatini,57.7
Somalia,56.5
Central African Republic,53.1
Lesotho,50.7
