Country,Elderly (65+)
Country,Rate
Afghanistan *,20.3
Albania *,86.9
Algeria *,19.5
American Samoa *,92.7
Andorra *,
Angola *,27.0
Anguilla *,88.0
Antigua and Barbuda *,
Argentina *,97.9
Armenia *,98.9
Aruba *,88.9
Australia *,
Austria *,
Azerbaijan *,98.4
Bahamas,
Bahrain *,42.3
Bangladesh *,39.4
Barbados *,98.5
Belarus *,98.6
Belgium *,
Belize *,44.8
Benin *,7.0
Bermuda *,
Bhutan *,14.9
Bolivia *,67.5
Bonaire,
Bosnia and Herzegovina *,86.0
Botswana *,40.7
Brazil *,74.3
British Virgin Islands *,
Brunei *,61.6
Bulgaria *,97.5
Burkina Faso *,8.4
Burundi *,24.9
Cape Verde *,36.8
Cambodia *,53.1
Cameroon *,26.1
Canada *,
Cayman Islands *,94.7
Central African Republic *,35.7
Chad *,7.0
Chile *,89.9
China *,73.9
Hong Kong *,
Macau *,81.2
Colombia *,81.4
Comoros *,12.8
Congo *,73.1
DR Congo *,48.0
Cook Islands *,
Costa Rica *,90.4
Ivory Coast *,18.0
Croatia *,97.1
Cuba *,99.2
Curaçao,
Cyprus *,93.8
Czech Republic *,
Denmark *,
Djibouti *,
Dominica *,
Dominican Republic *,79.8
Ecuador *,77.7
Egypt *,43.2
El Salvador *,65.7
Equatorial Guinea *,67.2
Eritrea *,20.9
Estonia *,99.7
Eswatini *,45.2
Ethiopia *,13.6
Faroe Islands *,
Falkland Islands *,
Fiji *,
Finland *,
France *,
French Guiana *,69.7
French Polynesia *,
Gabon *,60.6
Gambia *,10.4
Georgia *,99.1
Germany *,
Ghana *,34.9
Gibraltar *,
Greece *,92.5
Greenland *[7],
Grenada *,96.2
Guadeloupe *,82.9
Guam *,95.9
Guatemala *,50.7
Guinea *,13.1
Guinea-Bissau *,19.5
Guyana *,49.9
Haiti *,8.5
Holy See,
Honduras *,66.3
Hungary *,99.1
Iceland *,
India *,45.4
Indonesia *,70.1
Iran *,36.8
Iraq *,20.4
Ireland *,
Isle of Man *,
Israel *,79.8
Italy *,96.7
Jamaica *,66.6
Japan *,
Jordan *,87.7
Kazakhstan *,99.5
Kenya *,54.0
Kiribati *,
North Korea *,100.0
South Korea *,
Kuwait *,69.5
Kyrgyzstan *,92.5
Laos *,58.6
Latvia *,99.9
Lebanon *,60.2
Lesotho *,51.4
Liberia *,32.8
Libya *,24.2
Liechtenstein *,
Lithuania *,99.8
Luxembourg *,
Madagascar *,49.4
Malawi *,35.1
Malaysia *,47.1
Maldives *,92.8
Mali *,13.6
Malta *,85.8
Marshall Islands *,89.4
Martinique,88.1
Mauritania *,26.6
Mauritius *,64.6
Mayotte,
Mexico *,78.9
Micronesia *,
Monaco *,
Mongolia *,94.6
Montenegro *,93.9
Montserrat *,
Morocco *,34.1[8]
Mozambique *,26.0
Myanmar *,58.2
Namibia *,56.7
Nauru *,
Nepal *,20.8
Netherlands *,
New Caledonia,90.6
New Zealand *,
Nicaragua *,49.2
Niger *,13.7
Nigeria *,21.6
Niue *,
North Macedonia *,82.5
Northern Mariana Islands *,
Norway *,
Oman *,41.9
Pakistan *,27.1
Palau *,84.7
Palestine *,63.9
Panama *,80.9
Papua New Guinea *,33.0
Paraguay *,77.8
Peru *,77.7
Philippines *,90.1
Pitcairn Islands,
Poland *,93.0
Portugal *,80.5
Puerto Rico *,84.5
Qatar *,41.0
Moldova *,95.8
Romania *,96.8
Russia *,99.2
Rwanda *,24.3
Réunion,42.0
Saint Helena *,
Saint Kitts and Nevis *,
Saint Lucia *,
Saint Pierre and Miquelon,98.5
Saint Martin,
Samoa *,96.3
San Marino *,
São Tomé and Príncipe *,49.6
Saudi Arabia *,51.4
Senegal *,21.5
Serbia *,96.6
Seychelles,71.5
Sierra Leone *,3.7
Singapore *,84.0
Sint Maarten,
Slovakia *,
Slovenia *,99.3
Solomon Islands *,
Somalia *,
South Africa *,72.1
South Sudan *,11.0
Spain *,94.7
Sri Lanka *,81.0
Saint Vincent and the Grenadines *,91.0
Sudan *,24.3
Suriname *,76.0
Svalbard and Jan Mayen,
Sweden *,
Switzerland *,
Syria *,39.0
Tajikistan *,98.1
Tanzania *,43.5
Thailand *,78.7
East Timor *,11.2
Togo *,20.4
Tokelau *,
Tonga *,98.9
Trinidad and Tobago *,82.8
Tunisia *,39.8
Turkey *,88.1
Turkmenistan *,97.6
Turks and Caicos Islands,
Tuvalu *,
Uganda *,36.1
Ukraine *,100.0
United Arab Emirates *,42.1
United Kingdom *,
United States *,
U.S. Virgin Islands *,
Uruguay *,97.1
Uzbekistan *,99.8
Vanuatu *,44.2
Venezuela *,88.1
Vietnam *,76.9
Wallis and Futuna,
Western Sahara,
Yemen *,13.7
Zambia *,52.3
Zimbabwe *,81.1
