Country/Dependency,kg/person (2002)[9][note 1]
Albania,38.2
Algeria,18.4
American Samoa,24.9
Angola,25.0
Antigua and Barbuda,56.0
Argentina,79.7
Armenia,27.7
Australia,108.2
Austria,94.1
Azerbaijan,15.9
Bahamas,123.6
Bahrain,70.7
Bangladesh,3.1
Barbados,88.7
Belarus,58.6
Belgium,86.1
Belize,74.7
Benin,16.2
Bhutan,3.0
Bolivia,50.0
Bosnia and Herzegovina,21.4
Botswana,27.3
Brazil,82.4
Bulgaria,69.4
Burkina Faso,11.2
Burundi,3.5
Cambodia,13.9
Cameroon,14.4
Canada,108.1
Cape Verde,26.3
Côte d'Ivoire,11.3
Central African Republic,28.0
Chad,14.3
Chile,66.4
China,52.4
Colombia,33.9
Comoros,7.6
Republic of the Congo,13.3
Democratic Republic of the Congo,4.8
Costa Rica,40.4
Croatia,49.9
Cuba,32.2
Cyprus,131.3
Czech Republic,77.3
Denmark,145.9
Djibouti,17.1
Dominica,67.1
Dominican Republic,37.8
Ecuador,45.0
Egypt,22.5
El Salvador,21.4
Eritrea,7.7
Estonia,67.4
Ethiopia,7.9
Fiji,39.1
Finland,67.4
France,101.1
French Guiana,13.2
French Polynesia,112.2
Gabon,46.0
The Gambia,5.2
Georgia,26.0
Germany,82.1
Ghana,9.9
Greece,78.7
Grenada,97.0
Guadeloupe,12.7
Guatemala,23.8
Guinea,6.5
Guinea-Bissau,13.0
Guyana,31.8
Haiti,15.3
Honduras,24.7
Hong Kong,
Hungary,100.7
Iceland,84.8
India,5.2
Indonesia,8.3
Iran,23.1
Ireland,106.3
Israel,97.1
Italy,90.4
Jamaica,56.8
Japan,45.9
Jordan,29.8
Kazakhstan,44.8
Kenya,14.3
Kiribati,32.1
Kuwait,60.2
Kyrgyzstan,39.0
Laos,15.0
Latvia,45.7
Lebanon,63.1
Lesotho,15.4
Liberia,7.9
Libya,28.6
Lithuania,49.5
Luxembourg,141.7
Macao,
Madagascar,17.6
Malawi,5.1
Malaysia,50.9
Maldives,16.6
Mali,19.0
Malta,86.9
Mauritania,29.9
Mauritius,39.6
Mexico,58.6
Moldova,22.7
Mongolia,108.8
Montenegro,
Morocco,20.6
Mozambique,5.6
Myanmar,10.7
Namibia,34.0
Nepal,10.0
Netherlands,89.3
Netherlands Antilles,73.3
New Caledonia,76.6
New Zealand,142.1
Nicaragua,14.9
Niger,11.2
Nigeria,8.6
Norway,61.7
North Korea,10.8
North Macedonia,35.4
Oman,49.8
Pakistan,12.3
Panama,54.5
Papua New Guinea,73.0
Paraguay,70.3
Peru,34.5
Philippines,31.1
Poland,78.1
Portugal,91.1
Qatar,90.5
Reunion,46.8
Romania,54.5
Russia,51.0
Rwanda,4.4
Saint Kitts and Nevis,99.3
Saint Lucia,124.1
Saint Vincent and the Grenadines,79.1
Samoa,82.6
Sao Tome and Principe,9.6
Saudi Arabia,44.6
Senegal,17.7
Serbia,
Seychelles,51.1
Sierra Leone,6.1
Singapore,71.1
Slovakia,67.4
Slovenia,88.0
Solomon Islands,9.7
South Africa,39.0
South Korea,48.0
Spain,118.6
Sri Lanka,6.6
Sudan,21.0
Suriname,40.3
Swaziland,34.2
Sweden,76.1
Switzerland,72.9
Syria,21.2
Taiwan,
Tajikistan,8.7
Thailand,27.9
Timor-Leste,41.3
Tanzania,10.0
Togo,8.5
Trinidad and Tobago,57.8
Tunisia,25.5
Turkey,19.3
Turkmenistan,41.7
Uganda,11.7
Ukraine,32.3
United Arab Emirates,74.4
United Kingdom,79.6
United States of America,124.8
Uruguay,98.6
Uzbekistan,20.7
Vanuatu,32.6
Venezuela,56.6
Vietnam,28.6
Yemen,14.7
Zambia,11.9
Zimbabwe,15.2
