Country,Annual
Country,Nominal (US$)[6]
,
Afghanistan,858.0
Albania,4637.0
Algeria,1777.0
Andorra,18253.0
Angola,663.0
Antigua and Barbuda,6317.0
Argentina,21350.0
Armenia,1787.0
Australia,34515.0
Austria,
Azerbaijan,2435.0
The Bahamas,10920.0
Bahrain,
Bangladesh,212.0
Barbados,8840.0
Belarus,0.0
Belgium,24005.0
Belize,5850.0
Benin,865.0
Bhutan,609.0
Bolivia,4444.0
Bosnia and Herzegovina,3949.0
Botswana,1933.0
Brazil,3184.0
Brunei,
Bulgaria,5950.0
Burkina Faso,750.0
Burundi,
Cambodia,
Cameroon,785.0
Canada,24128.0
Cape Verde,1673.0
Central African Republic,821.0
Chad,1298.0
Chile,6483.0
China,2642.0
Colombia,4516.0
Comoros,1587.0
Democratic Republic of the Congo,220.0
Republic of the Congo,1948.0
Costa Rica,6785.0
Côte d'Ivoire,792.0
Croatia,7075.0
Cuba,44.0
Cyprus,
Czech Republic,9959.0
Denmark,
Djibouti,
Dominica,3081.0
Dominican Republic,2613.0
Ecuador,5850.0
Egypt,
El Salvador,3650.0
Equatorial Guinea,2792.0
Eritrea,
Estonia,10578.0
Eswatini,694.0
Ethiopia,
Federated States of Micronesia,
Fiji,3232.0
Finland,
France,24259.0
Gabon,3246.0
The Gambia,253.0
Georgia,93.0
Germany,29520.0
Ghana,433.0
Greece,12915.0
Grenada,
Guatemala,3924.0
Guernsey,
Guinea,
Guinea-Bissau,412.0
Guyana,2015.0
Haiti,1014.0
Honduras,2420.0
Hong Kong,10708.0
Hungary,9184.0
Iceland,
India,674.0
Indonesia,2449.0
Iran,20881.0
Iraq,2069.0
Ireland,28302.0
Isle of Man,
Israel,20700.0
Italy,
Jamaica,4461.0
Japan,16924.0
Jersey,
Jordan,5408.0
Kazakhstan,1972.0
Kenya,702.0
Kiribati,2033.0
North Korea,
South Korea,20990.0
Kosovo,2413.0
Kuwait,2400.0
Kyrgyzstan,162.0
Laos,1732.0
Latvia,8799.0
Lebanon,5373.0
Lesotho,956.0
Liberia,4.0
Libya,1169.0
Liechtenstein,
Lithuania,13899.0
Luxembourg,32103.0
Macau,9972.0
Madagascar,376.0
Malawi,266.0
Malaysia,4348.0
Maldives,
Mali,616.0
Malta,11245.0
Marshall Islands,4160.0
Mauritania,982.0
Mauritius,2538.0
Mexico,3104.0
Moldova,2715.0
Monaco,24092.0
Mongolia,2316.0
Montenegro,6387.0
Morocco,3997.0
Mozambique,550.0
Myanmar,691.0
Namibia,
Nauru,
Nepal,1524.0
Netherlands,24925.0
New Zealand,33487.0
Nicaragua,1506.0
Niger,650.0
Nigeria,901.0
North Macedonia,2418.0
Northern Cyprus,
Norway,
Oman,10263.0
Pakistan,1289.0
Palau,6240.0
Palestine,6985.0
Panama,3819.0
Papua New Guinea,2086.0
Paraguay,4055.0
Peru,3170.0
Philippines,3009.0
Poland,11192.0
Portugal,9935.0
Qatar,
Romania,8654.0
Russia,2646.0
Rwanda,
Saint Kitts and Nevis,6933.0
Saint Lucia,
Saint Vincent and the Grenadines,2407.0
Samoa,1625.0
San Marino,21310.0
São Tomé and Príncipe,
Saudi Arabia,12800.0
Senegal,686.0
Serbia,3610.0
Seychelles,3282.0
Sierra Leone,575.0
Singapore,
Slovakia,9914.0
Slovenia,17079.0
Solomon Islands,933.0
Somalia,
South Africa,3671.0
South Sudan,
Spain,17457.0
Sri Lanka,603.0
Sudan,13.0
Suriname,
Sweden,
Switzerland,
Syria,96.0
Taiwan,11973.0
Tajikistan,265.0
Tanzania,209.0
Thailand,3733.0
Timor-Leste,1380.0
Togo,757.0
Tonga,
Trinidad and Tobago,4615.0
Tunisia,2000.0
Turkey,18190.0
Tuvalu,
Uganda,426.0
Ukraine,2946.0
United Arab Emirates,
United Kingdom,29690.0
United States,15080.0
Uruguay,5816.0
Uzbekistan,1041.0
Vanuatu,3240.0
Venezuela,10.32
Vietnam,1591.0
Yemen,
Zambia,596.0
Zimbabwe,
